book_title,author,ratings,avg_rating,book_image,book_url
"Witches, Ghosts, and Goblins: A Spooky Search for Miranda's Cat",Ruthanna Long,43,4.56,https://dryofg8nmyqjw.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/100013.Witches_Ghosts_and_Goblins
"The Complete Crumb Comics, Vol. 3: Starring Fritz the Cat",Robert Crumb,153,3.97,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358293305i/1000142.jpg,https://www.goodreads.com/book/show/1000142.The_Complete_Crumb_Comics_Vol_3
Harry Potter Collection,J.K. Rowling,"33,456",4.72,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328867351i/10.jpg,https://www.goodreads.com/book/show/10.Harry_Potter_Collection
The Face of Another,Kōbō Abe,"5,057",3.75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320415026i/10000.jpg,https://www.goodreads.com/book/show/10000.The_Face_of_Another
Harry Potter and the Half-Blood Prince,J.K. Rowling,"3,398,369",4.58,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Prey,Linda Howard,"10,051",3.80,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333576631i/10000269.jpg,https://www.goodreads.com/book/show/10000269-prey
Last Mission,Jack Everett,6,4.67,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394234011i/10004121.jpg,https://www.goodreads.com/book/show/10004121-last-mission
Blood Secret,Kathryn Lasky,295,3.39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387707160i/1000213.jpg,https://www.goodreads.com/book/show/1000213.Blood_Secret
No and Me,Delphine de Vigan,"17,514",3.72,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328300675i/10001905.jpg,https://www.goodreads.com/book/show/10001905-no-and-me
Merlin's Kin,Everett Coles,7,4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328300722i/10004862.jpg,https://www.goodreads.com/book/show/10004862-merlin-s-kin
Wildflower Hill,Kimberley Freeman,"13,405",4.10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1314025082i/10002296.jpg,https://www.goodreads.com/book/show/10002296-wildflower-hill
Magical Elements of the Periodic Table Presented Alphabetically by the Metal Horn Unicorns,Sybrina Durant,316,4.47,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675614710i/100022768.jpg,https://www.goodreads.com/book/show/100022768-magical-elements-of-the-periodic-table-presented-alphabetically-by-the-m
Secret of the Sands,Sara Sheridan,470,3.57,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1343296117i/10003893.jpg,https://www.goodreads.com/book/show/10003893-secret-of-the-sands
My Russian: A Novel,Deirdre McNamer,165,3.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320499479i/1000530.jpg,https://www.goodreads.com/book/show/1000530.My_Russian
The Midnight Fox,Betsy Byars,"1,290",3.74,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348204865i/1000591.jpg,https://www.goodreads.com/book/show/1000591.The_Midnight_Fox
Oracle Night,Paul Auster,"16,840",3.81,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328287302i/10006.jpg,https://www.goodreads.com/book/show/10006.Oracle_Night
A Visit from Voltaire,Dinah Lee Küng,130,3.58,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328700106i/1000600.jpg,https://www.goodreads.com/book/show/1000600.A_Visit_from_Voltaire
As a Driven Leaf,Milton Steinberg,"2,931",4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347463821i/100065.jpg,https://www.goodreads.com/book/show/100065.As_a_Driven_Leaf
Pollyanna,Eleanor H. Porter,"88,485",4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673585138i/1000751.jpg,https://www.goodreads.com/book/show/1000751.Pollyanna
The Towers of Silence,Paul Scott,"1,450",4.26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328872723i/1000724.jpg,https://www.goodreads.com/book/show/1000724.The_Towers_of_Silence
The Day of the Scorpion,Paul Scott,"1,695",4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328872722i/1000718.jpg,https://www.goodreads.com/book/show/1000718.The_Day_of_the_Scorpion
Eleanor Rigby,Douglas Coupland,"10,329",3.67,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439806437i/10008.jpg,https://www.goodreads.com/book/show/10008.Eleanor_Rigby
Journal 64,Jussi Adler-Olsen,"26,147",4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1424299324i/10008056.jpg,https://www.goodreads.com/book/show/10008056-journal-64
The Ant-Man of Malfen,Derek Prior,214,3.60,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328300766i/10008821.jpg,https://www.goodreads.com/book/show/10008821-the-ant-man-of-malfen
The Blackheath Poisonings: A Victorian Murder Mystery,Julian Symons,149,3.62,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348643638i/1001016.jpg,https://www.goodreads.com/book/show/1001016.The_Blackheath_Poisonings
The 12 Week Year,Brian P. Moran,"14,763",3.87,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1302134541i/10009377.jpg,https://www.goodreads.com/book/show/10009377-the-12-week-year
Homo Faber,Max Frisch,"28,257",3.69,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1709271225i/10009.jpg,https://www.goodreads.com/book/show/10009.Homo_Faber
The Prophets,Abraham Joshua Heschel,"1,264",4.40,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384259206i/100100.jpg,https://www.goodreads.com/book/show/100100.The_Prophets
Midnight Nation,J. Michael Straczynski,"1,736",4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1360248859i/100094.jpg,https://www.goodreads.com/book/show/100094.Midnight_Nation
Kanada,Eva Wiseman,159,4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320428006i/1001063.jpg,https://www.goodreads.com/book/show/1001063.Kanada
The Shadow Knows,Diane Johnson,226,3.44,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1640927182i/10011427.jpg,https://www.goodreads.com/book/show/10011427-the-shadow-knows
Jihad Julia: Pemikiran Kritis dan Jenaka Feminis Pertama di Indonesia,Julia Suryakusuma,104,3.77,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1293228716i/10012262.jpg,https://www.goodreads.com/book/show/10012262-jihad-julia
After Long Silence: A Memoir,Helen Fremont,"3,456",4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320538977i/1001282.jpg,https://www.goodreads.com/book/show/1001282.After_Long_Silence
Parnassus on Wheels,Christopher  Morley,"9,795",4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1465495291i/1001312.jpg,https://www.goodreads.com/book/show/1001312.Parnassus_on_Wheels
The Revealers,Doug Wilhelm,"1,088",3.42,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1436962092i/1001346.jpg,https://www.goodreads.com/book/show/1001346.The_Revealers
Front Row Center,Cynthia B. Ainsworthe,32,4.72,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347136166i/10014677.jpg,https://www.goodreads.com/book/show/10014677-front-row-center
Halo: Contact Harvest,Joseph Staten,"10,602",4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442897143i/1001442.jpg,https://www.goodreads.com/book/show/1001442.Halo
The Art of Love,Ovid,"6,924",3.73,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320447371i/100142.jpg,https://www.goodreads.com/book/show/100142.The_Art_of_Love
The Transsexual Empire: The Making of the She-Male,Janice G. Raymond,329,2.89,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1346281085i/1001441.jpg,https://www.goodreads.com/book/show/1001441.The_Transsexual_Empire
The Blood of Ten Chiefs,Richard Pini,958,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387733392i/1001789.jpg,https://www.goodreads.com/book/show/1001789.The_Blood_of_Ten_Chiefs
Natasha and Other Stories,David Bezmozgis,"1,918",3.79,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1316130865i/1001529.jpg,https://www.goodreads.com/book/show/1001529.Natasha_and_Other_Stories
The Unmaking of June Farrow,Adrienne Young,"94,581",4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1678126827i/100183621.jpg,https://www.goodreads.com/book/show/100183621-the-unmaking-of-june-farrow
Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,"17,560",4.39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659761696i/10016013.jpg,https://www.goodreads.com/book/show/10016013-harry-potter-and-the-methods-of-rationality
The Real Mother Goose,Blanche Fisher Wright,"36,312",4.32,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439507704i/1001896.jpg,https://www.goodreads.com/book/show/1001896.The_Real_Mother_Goose
Marrow,Robert Reed,"2,295",3.85,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386922303i/100208.jpg,https://www.goodreads.com/book/show/100208.Marrow
Emerald House Rising,Peg Kerr,189,3.86,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1600206526i/1002157.jpg,https://www.goodreads.com/book/show/1002157.Emerald_House_Rising
Bet Your Bones,Jeanne Matthews,95,3.45,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328756283i/10021227.jpg,https://www.goodreads.com/book/show/10021227-bet-your-bones
Coyote's Kiss,Christa Faust,"1,760",4.10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320565567i/10021764.jpg,https://www.goodreads.com/book/show/10021764-coyote-s-kiss
Billingsgate Shoal,Rick Boyer,146,3.62,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1180131632i/1002314.jpg,https://www.goodreads.com/book/show/1002314.Billingsgate_Shoal
Dreams of the Compass Rose,Vera Nazarian,93,4.20,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327147535i/10021813.jpg,https://www.goodreads.com/book/show/10021813-dreams-of-the-compass-rose
The Untamed Bride Plus Two Full Novels and Bonus Material,Stephanie Laurens,161,4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411334921i/10024839.jpg,https://www.goodreads.com/book/show/10024839-the-untamed-bride-plus-two-full-novels-and-bonus-material
Sylvianna,Keryl Raist,24,3.67,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327359017i/10024516.jpg,https://www.goodreads.com/book/show/10024516-sylvianna
The Preservationist,David Maine,"1,548",3.61,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1316637488i/100223.jpg,https://www.goodreads.com/book/show/100223.The_Preservationist
Monkey: The Journey to the West,Wu Cheng'en,"7,334",4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347431752i/100237.jpg,https://www.goodreads.com/book/show/100237.Monkey
Yvette's Haven,Tina Folsom,"5,848",4.20,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1304380814i/10024227.jpg,https://www.goodreads.com/book/show/10024227-yvette-s-haven
The Silent People,Walter Macken,527,4.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356457415i/1002500.jpg,https://www.goodreads.com/book/show/1002500.The_Silent_People
Iron House,John Hart,"17,277",4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442918881i/10024937.jpg,https://www.goodreads.com/book/show/10024937-iron-house
Jessica Rules the Dark Side,Beth Fantaskey,"10,383",3.89,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298043293i/10025007.jpg,https://www.goodreads.com/book/show/10025007-jessica-rules-the-dark-side
Coming Home,Lauren Brooke,"7,590",4.10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347269724i/1002520.jpg,https://www.goodreads.com/book/show/1002520.Coming_Home
The Shamrock Crown and the Legend of Excalibur,Arthur Cola (illustrations by John Colaianni),2,4.50,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432603907i/10026496.jpg,https://www.goodreads.com/book/show/10026496-the-shamrock-crown-and-the-legend-of-excalibur
