list_name,list_link
Best Books Ever,https://www.goodreads.com/list/show/1.Best_Books_Ever
Books That Everyone Should Read At Least Once,https://www.goodreads.com/list/show/264.Books_That_Everyone_Should_Read_At_Least_Once
Best Young Adult Books,https://www.goodreads.com/list/show/43.Best_Young_Adult_Books
Books That Should Be Made Into Movies,https://www.goodreads.com/list/show/1043.Books_That_Should_Be_Made_Into_Movies
Best Books of the 20th Century,https://www.goodreads.com/list/show/6.Best_Books_of_the_20th_Century
Best Book Boyfriends,https://www.goodreads.com/list/show/10762.Best_Book_Boyfriends
Best Books of the Decade: 2000s,https://www.goodreads.com/list/show/5.Best_Books_of_the_Decade_2000s
What To Read Next,https://www.goodreads.com/list/show/1938.What_To_Read_Next
Best Historical Fiction,https://www.goodreads.com/list/show/15.Best_Historical_Fiction
The Best Epic Fantasy (fiction),https://www.goodreads.com/list/show/50.The_Best_Epic_Fantasy_fiction_
Best Dystopian and Post-Apocalyptic Fiction,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction
Best Science Fiction & Fantasy Books,https://www.goodreads.com/list/show/3.Best_Science_Fiction_Fantasy_Books
Best Books of the 21st Century,https://www.goodreads.com/list/show/7.Best_Books_of_the_21st_Century
"Best ""Strong Female"" Fantasy Novels",https://www.goodreads.com/list/show/1023.Best_Strong_Female_Fantasy_Novels
The Book Was Better Than the Movie,https://www.goodreads.com/list/show/429.The_Book_Was_Better_Than_the_Movie
Best for Book Clubs,https://www.goodreads.com/list/show/19.Best_for_Book_Clubs
The Worst Books of All Time,https://www.goodreads.com/list/show/2.The_Worst_Books_of_All_Time
Most Exciting Upcoming YA Books,https://www.goodreads.com/list/show/153.Most_Exciting_Upcoming_YA_Books
Best Crime & Mystery Books,https://www.goodreads.com/list/show/11.Best_Crime_Mystery_Books
Books You Wish More People Knew About,https://www.goodreads.com/list/show/8166.Books_You_Wish_More_People_Knew_About
Can't Wait Books of 2014,https://www.goodreads.com/list/show/17252.Can_t_Wait_Books_of_2014
Couldn't Put The Book Down,https://www.goodreads.com/list/show/2994.Couldn_t_Put_The_Book_Down_
Can't Wait Books of 2012,https://www.goodreads.com/list/show/6634.Can_t_Wait_Books_of_2012
Books That Exceeded Your Expectations,https://www.goodreads.com/list/show/423.Books_That_Exceeded_Your_Expectations
Judge A Book By Its Cover!,https://www.goodreads.com/list/show/4581.Judge_A_Book_By_Its_Cover_
100 Books to Read in a Lifetime: Readers' Picks,https://www.goodreads.com/list/show/69635.100_Books_to_Read_in_a_Lifetime_Readers_Picks
Best Books of the Decade: 2010s,https://www.goodreads.com/list/show/4093.Best_Books_of_the_Decade_2010s
Original Stories . . . a Breath of Fresh Air,https://www.goodreads.com/list/show/7057.Original_Stories_a_Breath_of_Fresh_Air
Books that Blew Me Away and that I Still Think About,https://www.goodreads.com/list/show/2386.Books_that_Blew_Me_Away_and_that_I_Still_Think_About_
Best Paranormal Romance Series,https://www.goodreads.com/list/show/397.Best_Paranormal_Romance_Series
What's the Book You Can't Wait to Read This Summer?,https://www.goodreads.com/list/show/10634.What_s_the_Book_You_Can_t_Wait_to_Read_This_Summer_
Best Teen Books About Real Problems,https://www.goodreads.com/list/show/1736.Best_Teen_Books_About_Real_Problems
The Best Urban Fantasy,https://www.goodreads.com/list/show/51.The_Best_Urban_Fantasy
"The Most Begun ""Read but Unfinished"" (Started) book ever",https://www.goodreads.com/list/show/497.The_Most_Begun_Read_but_Unfinished_Started_book_ever
All Time Favorite Romance Novels,https://www.goodreads.com/list/show/12362.All_Time_Favorite_Romance_Novels
Best Young Adult Realistic Novels,https://www.goodreads.com/list/show/8460.Best_Young_Adult_Realistic_Novels
"Best Fantasy Series, Trilogies, and Duologies",https://www.goodreads.com/list/show/319.Best_Fantasy_Series_Trilogies_and_Duologies
"The ""Can't Wait"" Books of 2015",https://www.goodreads.com/list/show/29067.The_Can_t_Wait_Books_of_2015
Can't Wait Books of 2013,https://www.goodreads.com/list/show/10889.Can_t_Wait_Books_of_2013
YA Dystopia Novels,https://www.goodreads.com/list/show/2216.YA_Dystopia_Novels
YA Novels of 2013,https://www.goodreads.com/list/show/7362.YA_Novels_of_2013
The Most Disturbing Books Ever Written,https://www.goodreads.com/list/show/2455.The_Most_Disturbing_Books_Ever_Written
Best Series,https://www.goodreads.com/list/show/1381.Best_Series
Read Them Twice...At Least,https://www.goodreads.com/list/show/474.Read_Them_Twice_At_Least
YA Novels of 2012,https://www.goodreads.com/list/show/4902.YA_Novels_of_2012
Can't Wait Books of 2010,https://www.goodreads.com/list/show/3491.Can_t_Wait_Books_of_2010
What Book Got You Hooked?,https://www.goodreads.com/list/show/651.What_Book_Got_You_Hooked_
Best Paranormal & Fantasy Romances,https://www.goodreads.com/list/show/225.Best_Paranormal_Fantasy_Romances
Best Fantasy Books of the 21st Century,https://www.goodreads.com/list/show/88.Best_Fantasy_Books_of_the_21st_Century
"Best M/F Erotic Romance like Fifty Shades of Grey  (not paranormal, high school, gay or sci-fi)",https://www.goodreads.com/list/show/18698.Best_M_F_Erotic_Romance_like_Fifty_Shades_of_Grey_not_paranormal_high_school_gay_or_sci_fi_
"Best ADULT Urban Fantasy, Fantasy and Paranormal Romance",https://www.goodreads.com/list/show/9088.Best_ADULT_Urban_Fantasy_Fantasy_and_Paranormal_Romance
The MOVIE was BETTER than the BOOK,https://www.goodreads.com/list/show/104.The_MOVIE_was_BETTER_than_the_BOOK
Best Love Stories,https://www.goodreads.com/list/show/550.Best_Love_Stories_
Smart Summer Reads,https://www.goodreads.com/list/show/35584.Smart_Summer_Reads
Young Adult Romance,https://www.goodreads.com/list/show/1333.Young_Adult_Romance
Most anticipated books of 2014,https://www.goodreads.com/list/show/44244.Most_anticipated_books_of_2014
YA Novels of 2016,https://www.goodreads.com/list/show/72299.YA_Novels_of_2016
MUST READS!!!,https://www.goodreads.com/list/show/19106.MUST_READS_
Best Science Fiction of the 21st Century,https://www.goodreads.com/list/show/4893.Best_Science_Fiction_of_the_21st_Century
Best Books of 2012,https://www.goodreads.com/list/show/15604.Best_Books_of_2012
Must Read Books- Different Genres,https://www.goodreads.com/list/show/2491.Must_Read_Books_Different_Genres
Favorite Books,https://www.goodreads.com/list/show/63.Favorite_Books
I'm glad someone made me read this book,https://www.goodreads.com/list/show/1190.I_m_glad_someone_made_me_read_this_book
The Best Fairytales and Retellings,https://www.goodreads.com/list/show/96.The_Best_Fairytales_and_Retellings
